Epoch,Inception Score,FID
0,1.3266454577445983,1753.7273724081097
1,1.7654366612434387,1522.4742535704959
2,1.6604366898536682,1575.412442268769
3,2.3418554425239564,1519.8278300393438
4,4.64667158126831,1605.839926997796
5,5.9669984698295595,1494.1489795796056
6,3.0684388995170595,1536.6628227986037
7,4.421339464187622,1702.3323825711745
8,2.582063066959381,1698.3330591805247
9,2.2096428871154785,1600.3739344588625
10,2.52611985206604,1679.4595878683365
11,1.9084640622138977,1626.078017373296
12,2.413048565387726,1250.967931669221
13,1.947273278236389,1145.9764819040834
14,3.4311003923416137,1297.595858723911
15,1.8331710815429687,1289.3189488500188
16,2.8108200907707213,1171.5285096395555
17,2.4906161308288572,1005.6622453242464
18,1.8589034914970397,1027.812992612034
19,1.9805499911308289,986.4770548239072
20,1.9867822766304015,976.951193315072
21,2.0600982785224913,990.472276472271
22,2.0086606979370116,1011.8789965149315
23,2.29786536693573,1002.52013038907
24,1.9212491273880006,866.2615119410542
25,1.9209123015403748,1080.1706542214959
26,2.6164157390594482,751.643271177064
27,2.122077190876007,933.4278732516664
28,2.9047588229179384,746.268289234581
29,2.3659305453300474,708.4234736796076
30,2.120708930492401,719.3034866803055
31,2.5307358384132383,674.5569821801139
32,2.42884761095047,745.7464322057019
33,2.1728880286216734,820.3465347675523
34,2.558786940574646,700.5600361057351
35,2.3712297677993774,693.7535259396454
36,2.3288793921470643,676.6847160689885
37,2.685064363479614,699.1007459217948
38,2.760257363319397,651.6758496281718
39,2.040097439289093,703.6624257477013
40,2.506148898601532,690.0695809345766
41,2.6888956427574158,637.1264208665784
42,2.450953507423401,683.9973186365835
43,3.5722349762916563,546.8857519578869
44,3.1338033199310305,607.0258110847525
45,2.804973471164703,549.9418289318755
46,3.4973430037498474,751.5488397470418
47,3.073776566982269,557.8045425553197
48,2.667270600795746,625.5476171700336
49,2.9857365012168886,551.9827148366953
50,2.870039474964142,584.1593482588986
51,3.114576816558838,594.9863277694205
52,2.79205185174942,684.319314622572
53,3.2482887864112855,587.020047727623
54,2.400472605228424,584.2352358877562
55,2.1980890035629272,650.5533594324127
56,4.2229647755622866,568.6888445828886
57,3.082902359962463,550.7799829973864
58,3.2292822122573854,569.3813081683817
59,2.55267847776413,553.6612071245199
60,2.7241933345794678,519.0417059486133
61,2.6067437648773195,584.4311224312625
62,2.421272313594818,549.9133675818639
63,2.9948758721351623,571.7138892302181
64,3.198312759399414,533.8958303758194
65,2.8190677881240847,493.0005006794566
66,2.7404037594795225,631.4348818937219
67,3.1563727140426634,560.7806171944836
68,3.5985130310058593,479.48691309750154
69,3.0235791921615602,505.7173520285553
70,2.4992939472198485,476.40518019392385
71,2.873081421852112,543.9577518023723
72,3.3226996302604674,602.1783236815014
73,3.682421016693115,485.94548340372427
